museum,museum_code,catalogID,sex,lifestage,mass,date,continent,country,country_code,state,county,locality,elevation,scientific_name,kingdom,phylum,class,order,family,genus,specific_epithet,dataset_contact_email,dataset_contact
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,18244,male,unknown,,12/7/1993,North America,United States,,New Mexico,Bernalillo County,Albuquerque,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,20997,undetermined,unknown,,11/4/1993,North America,Canada,,Alberta,,Wood Buffalo National Park,,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25750,female,unknown,,1/20/1991,North America,United States,,New Mexico,Luna County,Uvas valley,1359.7128,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25769,male,unknown,2941,10/18/1991,North America,United States,,New Mexico,Socorro County,"0.25 mi N Bosque Del Apache NWR, Bosque hunt club",1378.6104,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25778,female,immature,2200,10/28/1990,North America,United States,,New Mexico,Socorro County,San Antonio area,1384.7064,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25791,undetermined,adult,5500,10/28/1990,North America,United States,,New Mexico,Socorro County,San Acacia,1433.7792,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25793,male,adult,3100,1/12/1991,North America,United States,,New Mexico,Sierra County,Derry area,1256.3856,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25803,undetermined,immature,2600,10/26/1990,North America,United States,,New Mexico,Socorro County,Lemitar,1411.224,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25819,undetermined,adult,3717,10/19/1991,North America,United States,,New Mexico,Socorro County,"0.25 mi N Bosque Del Apache NWR, Bosque hunt club",1378.6104,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25859,female,adult,2800,1/13/1991,North America,United States,,New Mexico,Luna County,Uvas valley,1359.7128,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
